code,test_name,category,tool,script,eval_method,pass_criteria,fail_criteria,default_severity,fallback_method,requires_external_tool
V-001,Sensitive data via OSINT,tool_parsing,theHarvester,V-001.sh,grep_absent,no email/creds found in output,emails found: , credential, password, secret,Medium,manual_review_required,true
V-002,Sub-domain enumeration,tool_parsing,subfinder,V-002.sh,grep_absent,no unexpected subdomains,unauthorized/shadow subdomain found,Low,manual_review_required,true
V-003,Open port/unnecessary service,tool_parsing,rustscan+nmap,V-003.sh,grep_absent,only allow-listed ports open,non-allow-listed port open,Medium,manual_review_required,true
V-004,DNS spoofing,custom_script,dig+spoof_probe,V-004.sh,exit_code_zero,spoof attempt rejected,spoofed response accepted,High,manual_review_required,false
V-005,Banner grabbing/fingerprinting,tool_parsing,nmap -sV,V-005.sh,grep_absent,no verbose version banner,verbose version string exposed,Low,manual_review_required,true
V-006,Weak TLS/SSL version,tool_parsing,testssl.sh,V-006.sh,grep_absent,TLS1.2+ only,SSLv3/TLS1.0/1.1 offered,High,manual_review_required,true
V-007,Weak cipher suite,tool_parsing,testssl.sh,V-007.sh,grep_absent,strong ciphers only,weak/NULL/EXPORT cipher offered,High,manual_review_required,true
V-008,Expired/self-signed certificate,tool_parsing,openssl s_client,V-008.sh,grep_absent,cert valid and CA-signed,expired, self-signed cert,Medium,manual_review_required,true
V-010,Missing HSTS header,tool_parsing,curl -I,V-010.sh,grep_present,Strict-Transport-Security header present,header missing,Medium,manual_review_required,true
V-011,MITM exposure,custom_script,bettercap_probe,V-011.sh,exit_code_zero,traffic integrity maintained,traffic intercepted/modified,High,manual_review_required,false
V-012,Default credentials,tool_parsing,hydra,V-012.sh,grep_absent,no valid login with default creds,valid login with default creds,Critical,manual_review_required,true
V-013,Weak password policy,custom_script,register_probe,V-013.sh,exit_code_zero,weak password rejected,weak password accepted,Medium,manual_review_required,false
V-016,Credential stuffing exposure,tool_parsing,hydra+breach_list,V-016.sh,grep_absent,no valid login from breach list,valid login from breach list,High,manual_review_required,true
V-017,Insecure password reset flow,custom_script,curl+hydra+nuclei,V-017.sh,exit_code_zero,secure password reset flow,insecure password reset flow detected,High,manual_review_required,false
V-018,Session fixation,custom_script,curl+hydra,V-018.sh,exit_code_zero,session ID rotates post-auth,session ID unchanged post-auth,High,manual_review_required,false
V-019,Weak JWT validation/sig bypass,tool_parsing,jwt_tool,V-019.sh,grep_absent,"signature enforced, alg locked",alg=none or sig bypass accepted,Critical,manual_review_required,true
V-021,SAML bypass/sig wrapping,tool_parsing,samlraider,V-021.sh,grep_absent,signature wrapping rejected,forged assertion accepted,Critical,manual_review_required,true
V-023,IDOR,custom_script,id_enum_diff,V-023.sh,grep_absent,cross-user object access denied,cross-user object returned,High,manual_review_required,false
V-029,SQLi,tool_parsing,sqlmap,V-029.sh,grep_present,no injectable parameter found,injectable parameter confirmed,Critical,manual_review_required,true
V-030,NoSQLi,tool_parsing,nosqlmap,V-030.sh,grep_present,no NoSQL injection point,NoSQL injection confirmed,Critical,manual_review_required,true
V-031,LDAPi,custom_script,ldap_payload_probe,V-031.sh,grep_absent,payload sanitized,LDAP filter injection succeeded,High,manual_review_required,false
V-032,XPATHi,custom_script,xpath_payload_probe,V-032.sh,grep_absent,payload sanitized,XPath injection succeeded,High,manual_review_required,false
V-033,CMDi/OSCi,tool_parsing,commix,V-033.sh,grep_present,no command injection point,command execution confirmed,Critical,manual_review_required,true
V-034,Reflected XSS,tool_parsing,xsstrike,V-034.sh,grep_present,payload sanitized/encoded,payload reflected unsanitized,High,manual_review_required,true
V-035,Stored XSS,tool_parsing,xsstrike,V-035.sh,grep_present,payload sanitized/encoded,payload persisted and executes,High,manual_review_required,true
V-036,DOM-based XSS,tool_parsing,dominator,V-036.sh,grep_present,sink not reachable,tainted sink executes payload,High,manual_review_required,true
V-037,XXE,custom_script,xxe_payload_probe,V-037.sh,grep_absent,external entity resolution disabled,entity resolved/file disclosed,Critical,manual_review_required,false
V-038,SSTI,tool_parsing,tplmap,V-038.sh,grep_present,no template injection,template injection confirmed,Critical,manual_review_required,true
V-039,CSTI,custom_script,csti_payload_probe,V-039.sh,grep_present,template sandbox holds,sandbox escape/code exec,High,manual_review_required,false
V-040,SSI,custom_script,ssi_payload_probe,V-040.sh,grep_absent,SSI directives disabled,SSI directive executed,High,manual_review_required,false
V-041,ESI,custom_script,esi_payload_probe,V-041.sh,grep_absent,ESI processing disabled,ESI include executed,Medium,manual_review_required,false
